StartTime, StopTime, SensorID, DetectorId, TypeEstimation, Confidence, Status
07-Dec-2014 14:45:18,07-Dec-2014 14:47:29,605,LocationDetector,person_lying_on_floor,0.411765,1
07-Dec-2014 14:45:19,07-Dec-2014 14:45:52,605,LocationDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:45:33,07-Dec-2014 14:49:08,SmartPhone,AudioSoundDetector,shower_usage,1.000000,1
07-Dec-2014 14:45:46,07-Dec-2014 14:45:54,605,LocationDetector,person_next_to_shower,0.714286,1
07-Dec-2014 14:45:54,07-Dec-2014 14:45:54,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:45:54,07-Dec-2014 14:45:54,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:45:54,07-Dec-2014 14:45:55,605,LocationDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:46:06,07-Dec-2014 14:46:09,SmartPhone,AudioSoundDetector,basin_usage,1.000000,1
07-Dec-2014 14:46:17,07-Dec-2014 14:46:21,SmartPhone,AudioSoundDetector,basin_usage,1.000000,1
07-Dec-2014 14:46:38,07-Dec-2014 14:46:41,SmartPhone,AudioSoundDetector,basin_usage,1.000000,1
07-Dec-2014 14:46:49,07-Dec-2014 14:46:49,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:46:49,07-Dec-2014 14:46:49,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:47:12,07-Dec-2014 14:47:17,SmartPhone,AudioSoundDetector,basin_usage,1.000000,1
07-Dec-2014 14:47:18,07-Dec-2014 14:47:21,SmartPhone,AudioSoundDetector,basin_usage,1.000000,1
07-Dec-2014 14:47:44,07-Dec-2014 14:47:44,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:47:44,07-Dec-2014 14:47:44,00:13:A2:00:40:81:42:3F-MD,PIRPresenceDetector,person_in_bathroom,1.000000,1
07-Dec-2014 14:49:04,07-Dec-2014 14:49:04,00:13:A2:00:40:7E:7C:27-MD,PIRPresenceDetector,person_next_to_toilet,1.000000,1
07-Dec-2014 14:49:04,07-Dec-2014 14:49:04,00:13:A2:00:40:7E:7C:27-MD,PIRPresenceDetector,person_next_to_toilet,1.000000,1
